year,region,gender,mortality
2006,Кіровоградська,Жінки,16.57930809229374
2007,Кіровоградська,Жінки,16.683886206708404
2008,Кіровоградська,Жінки,16.8866601443813
2009,Кіровоградська,Жінки,16.194682601541526
2010,Кіровоградська,Жінки,16.577835157611435
2011,Кіровоградська,Жінки,15.736680109600311
2012,Кіровоградська,Жінки,15.478391003011589
2013,Кіровоградська,Жінки,16.052074505221263
2014,Кіровоградська,Жінки,16.259978912486819
2015,Кіровоградська,Жінки,15.751261487273078
2016,Кіровоградська,Жінки,16.12998964111539
2017,Кіровоградська,Жінки,15.488566491954556
2018,Кіровоградська,Жінки,15.421666055160461
2019,Кіровоградська,Жінки,15.592338969388278
2020,Кіровоградська,Жінки,16.893096526829034
2021,Кіровоградська,Жінки,20.145533905417185
2005,Луганська,Жінки,16.149832621843569
2006,Луганська,Жінки,15.993301491905587
2007,Луганська,Жінки,15.787507344198353
2008,Луганська,Жінки,16.095161033856392
2009,Луганська,Жінки,15.491983155730413
2010,Луганська,Жінки,15.776778407214611
2011,Луганська,Жінки,15.151515151515152
2012,Луганська,Жінки,14.817670813125266
2013,Луганська,Жінки,14.900732683440831
2014,Луганська,Жінки,9.62314239940867
2015,Луганська,Жінки,6.1584080323878014
2016,Луганська,Жінки,5.8584702808698417
2017,Луганська,Жінки,6.0487806519792953
2018,Луганська,Жінки,6.8135124001831944
2019,Луганська,Жінки,6.9491532706826682
2020,Луганська,Жінки,6.6794025342413557
2021,Луганська,Жінки,8.50323525821023
2005,Львівська,Жінки,12.326756599766176
2006,Львівська,Жінки,12.206340115787381
2007,Львівська,Жінки,12.307097186938588
2008,Львівська,Жінки,12.492175603700202
2009,Львівська,Жінки,12.15143792140041
2010,Львівська,Жінки,12.125057303199091
2011,Львівська,Жінки,11.811697446391333
2012,Львівська,Жінки,11.98233485556819
2013,Львівська,Жінки,11.991234222654356
2014,Львівська,Жінки,12.288670731744075
2015,Львівська,Жінки,12.437525826679977
2016,Львівська,Жінки,12.239446206799123
2017,Львівська,Жінки,12.157466700722889
2018,Львівська,Жінки,12.262538720319469
2019,Львівська,Жінки,12.302687729507923
2020,Львівська,Жінки,13.433283998189181
2021,Львівська,Жінки,15.386301134739709
2005,Миколаївська,Жінки,14.442998410709606
2006,Миколаївська,Жінки,14.157507033743661
2007,Миколаївська,Жінки,14.568664403533434
2008,Миколаївська,Жінки,14.592105039687871
2009,Миколаївська,Жінки,14.271028414720123
2010,Миколаївська,Жінки,14.537334873988945
2011,Миколаївська,Жінки,13.632874613656735
2012,Миколаївська,Жінки,13.452052029320111
2013,Миколаївська,Жінки,13.857094651861686
2014,Миколаївська,Жінки,14.102757989413778
2015,Миколаївська,Жінки,14.272740935442506
2016,Миколаївська,Жінки,14.147401190903082
2017,Миколаївська,Жінки,13.990284389745318
2018,Миколаївська,Жінки,14.052719335921234
2019,Миколаївська,Жінки,14.200250902970447
2020,Миколаївська,Жінки,14.818122293660062
2021,Миколаївська,Жінки,18.650949971212992
2005,Одеська,Жінки,14.958680458833784
2006,Одеська,Жінки,15.000811554020093
2007,Одеська,Жінки,14.816866955931115
2008,Одеська,Жінки,14.558402738846825
